topic,visits
"Main_Page_en",32579831
"Wikipedia:Hauptseite_de",5965593
"Special:Search_en",3588408
"Wikipédia:Accueil_principal_fr",3025641
"Wikipedia:Portada_es",2385981
"Заглавна�?_�?траница_ru",2308527
"Special:Book_en",963706
"Spezial:Suche_de",647497
"メインページ_ja",568760
"Star_Wars:_The_Force_Awakens_en",475826
"Wikipedia:首页_zh",391024
"Служебна�?:С�?ылки_�?юда_ru",320763
"Spécial:Recherche_fr",312132
"Служебна�?:Пои�?к_ru",285536
"Star_Wars_en",212609
"Especial:Buscar_es",191106
"Deaths_in_2015_en",190967
"List_of_highest-grossing_films_en",177008
"特別:検索_ja",166098
"Jenny_McCarthy_en",160498
"Special:Search_de",147549
"Special:MobileMenu_en",142481
"Special:�?�索_zh",136624
"Special:Watchlist_en",125886
"Special:Search_commons",125311
"Special:WhatLinksHere_en",111269
"Special:CiteThisPage_en",110631
"2015_in_film_en",107751
"Sherlock_(TV_series)_en",100343
"Donald_Trump_en",100249
"Dilwale_(2015_film)_en",94218
"Mark_Wahlberg_en",91518
"Steve_Jobs_en",90814
"Spezial:Weblinksuche_de",90360
"Main_Page_commons",89136
"Special:UploadWizard_commons",83132
"Facebook_en",81901
"Kingsman:_The_Secret_Service_en",81244
"Taylor_Swift_en",80505
"List_of_Bollywood_films_of_2015_en",77633
"United_States_en",76636
"Demi_Lovato_en",75045
"Creed_(film)_en",70051
"Spezial:Beobachtungsliste_de",68536
"Spezial:Buch_de",68061
"One_Direction_en",65774
"Hauptseite_de",64776
"Spezial:Anmelden_de",63462
"Google_en",63221
"Portal:Current_events_en",62072
"YouTube_en",61618
"Interstellar_(film)_en",61115
"Special:RecentChangesLinked_en",60255
"特別:最近�?�更新_ja",60248
"Stephen_Hawking_en",58864
"Game_of_Thrones_en",58424
"Special:Log_en",57497
"Служебна�?:Вход_ru",57221
"India_en",56445
"Adolf_Hitler_en",55847
"Lionel_Messi_en",55484
"Dwayne_Johnson_en",55380
"Barack_Obama_en",55096
"Caitlyn_Jenner_en",54593
"Sylvester_Stallone_en",54219
"Tom_Hardy_en",53043
"Chris_Kyle_en",52517
"Special:Search_ru",51707
"John_Cena_en",51305
"MediaWiki_www.mediawiki",50340
"Help:IPA_for_English_en",49572
"Jennifer_Lawrence_en",49017
"World_War_I_en",48847
"Captain_America:_Civil_War_en",47509
"Sunny_Leone_en",47304
"Arnold_Schwarzenegger_en",47267
"Special:MobileOptions_en",47240
"Islamic_State_of_Iraq_and_the_Levant_en",47069
"Burj_Khalifa_en",46833
"Kray_twins_en",46372
"Michael_Jordan_en",46208
"Kim_Kardashian_en",46121
"List_of_Running_Man_episodes_en",45787
"Dubai_en",45286
"Kendall_Jenner_en",44956
"Special:RecentChanges_en",44186
"Running_Man_zh",44153
"Wikipedia_en",44149
"Especial:Entrar_es",43670
"Mad_Max:_Fury_Road_en",43451
"Jurassic_World_en",43405
"The_Walking_Dead_(TV_series)_en",43288
"XXX_en",43267
"Cristiano_Ronaldo_en",42785
"Quentin_Tarantino_en",42467
"Avengers:_Age_of_Ultron_en",42448
"Spectre_(2015_film)_en",42135
"World_War_II_en",42130
"Inside_Out_(2015_film)_en",41651
"Leonardo_DiCaprio_en",41319
"Pablo_Escobar_en",41251
"Frank_Sinatra_en",40990
"User:GoogleAnalitycsRoman/google-api_en",40324
"United_Kingdom_en",40038
"Conor_McGregor_en",40032
"Fetty_Wap_en",39785
"Tom_Cruise_en",39392
"Kanye_West_en",38829
"Ant-Man_(film)_en",38265
"United_States_presidential_election,_2016_en",38150
"Elizabeth_II_en",37679
"Freddie_Mercury_en",37239
"Salman_Khan_en",37182
"Michael_Jackson_en",37114
"Mr._Robot_(TV_series)_en",36771
"Ariana_Grande_en",36523
"The_Weeknd_en",36432
"Amy_Schumer_en",36407
"Special:LinkSearch_en",36353
"Justin_Bieber_en",35855
"Scarlett_Johansson_en",35632
"Eminem_en",35629
"Harry_Potter_en",35169
"Johnny_Depp_en",35153
"The_Big_Bang_Theory_en",34893
"Canada_en",34813
"Special:Search_es",34420
"Mila_Kunis_en",33901
"Amy_Winehouse_en",33838
"List_of_Naruto:_Shippuden_episodes_en",33507
"Stephen_Curry_en",33369
"Abraham_Lincoln_en",33354
"Служебна�?:Журналы_ru",32638
"Ed_Sheeran_en",32281
"Will_Smith_en",32280
"Channing_Tatum_en",32170
"Nina_Simone_en",32157
"Michael_B._Jordan_en",31998
"Jennifer_Aniston_en",31957
"Selena_Gomez_en",31894
"Mia_Khalifa_en",31771
"Zayn_Malik_en",31663
"Melania_Trump_en",31465
"Spécial:Recherche_de_lien_fr",31273
"Especial:BúsquedaDeEnlaces_es",31231
"Служебна�?:Пои�?к_�?�?ылок_ru",30870
"Special:链接�?�索_zh",30848
"特別:外部リンク検索_ja",30836
"Bernie_Sanders_en",30776
"Cara_Delevingne_en",30547
"Suicide_Squad_(film)_en",30302
"Spécial:Connexion_fr",30256
