topic,visits
"Main_Page_en",49232448
"Wikipedia:Hauptseite_de",5618787
"Special:Search_en",4493900
"Wikipédia:Accueil_principal_fr",2917745
"Заглавна�?_�?траница_ru",2746460
"Wikipedia:Portada_es",2350347
"United_States_presidential_election,_2016_en",1519180
"Donald_Trump_en",1057298
"Especial:Buscar_es",1043678
"Special:RecentChangesLinked_en",1024401
"Spezial:Suche_de",878612
"メインページ_ja",830052
"Special:Book_en",606129
"Wikipedia:首页_zh",557447
"Elizabeth_II_en",555415
"Hillary_Clinton_en",420278
"Barack_Obama_en",406606
"Spécial:Recherche_fr",396348
"Служебна�?:Пои�?к_ru",374034
"List_of_Presidents_of_the_United_States_en",330829
"特別:検索_ja",330017
"Main_Page_commons",297106
"Special:Search_commons",270884
"Donald_Trump_es",230363
"Melania_Trump_en",212363
"Special:�?�索_zh",198422
"Bill_Clinton_en",171476
"United_States_en",167392
"Special:WhatLinksHere_en",150558
"Special:Watchlist_en",146290
"Special:CiteThisPage_en",144195
"Spezial:Weblinksuche_de",119156
"Special:Search_de",113908
"Ivanka_Trump_en",106932
"Hauptseite_de",104012
"Служебна�?:Вход_ru",94310
"Portal:Current_events_en",92780
"Special:MobileMenu_en",87676
"Ivana_Trump_en",84032
"Special:RecentChanges_en",81515
"India_en",81498
"XXX_en",80627
"The_Walking_Dead_(TV_series)_en",78881
"Bernie_Sanders_en",77957
"World_War_I_en",76320
"Special:LinkSearch_en",76284
"Spezial:Buch_de",76102
"Especial:Entrar_es",73498
"Earth_en",73189
"George_W._Bush_en",72675
"Adolf_Hitler_en",72450
"Spezial:Beobachtungsliste_de",71713
"Facebook_en",70988
"Ronald_Reagan_en",70229
"Marla_Maples_en",69475
"Abraham_Lincoln_en",68281
"World_War_II_en",66670
"Wikipedia_en",65903
"Special:MobileOptions_en",65894
"Cristiano_Ronaldo_en",64481
"Suits_(TV_series)_en",63641
"Special:UploadWizard_commons",61217
"Especial:Libro_es",60888
"Help:IPA_for_English_en",60438
"Google_en",58629
"United_Kingdom_en",57504
"MediaWiki_www.mediawiki",57273
"Diana,_Princess_of_Wales_en",56552
"George_H._W._Bush_en",56169
"Lionel_Messi_en",55555
"Rothschild_family_en",53538
"Suicide_Squad_(film)_en",53156
"YouTube_en",52822
"Spécial:Livre_fr",50326
"John_F._Kennedy_en",49428
"Служебна�?:Пои�?к_�?�?ылок_ru",48926
"Spécial:Recherche_de_lien_fr",48919
"Especial:BúsquedaDeEnlaces_es",48858
"特別:外部リンク検索_ja",48842
"Special:链接�?�索_zh",48827
"Canada_en",48726
"Dwayne_Johnson_en",48192
"Edward_Snowden_en",47858
"Служебна�?:С�?ылки_�?юда_ru",46420
"Elon_Musk_en",46253
"Game_of_Thrones_en",46224
"Conor_McGregor_en",45924
"Franklin_D._Roosevelt_en",44261
"Millennials_en",43517
"Islamic_State_of_Iraq_and_the_Levant_en",43278
"Special:Search_es",42222
"Queen_Victoria_en",41908
"Mahatma_Gandhi_en",41584
"Eminem_en",41327
"American_Civil_War_en",41303
"XXXX_en",40458
"特別:最近�?�更新_ja",40016
"Ku_Klux_Klan_en",39650
"HTTP_404_en",39526
"Spécial:Connexion_fr",39460
"Wiki_en",39427
"Mia_Khalifa_en",39375
"Richard_Nixon_en",39165
"Bill_Gates_en",38802
"Jimmy_Carter_en",38433
"Steve_Jobs_en",37950
"Stephen_Curry_en",37695
"Michael_Jackson_en",37490
"Spezial:Anmelden_de",37468
"Ten_Commandments_en",36587
"Pablo_Escobar_en",36456
"Jennifer_Aniston_en",36422
"Special:Log_en",36250
"China_en",35840
"Accueil_fr",35602
"Arnold_Schwarzenegger_en",35535
"Taylor_Swift_en",35466
"The_Big_Bang_Theory_en",35116
"Estados_Unidos_es",34961
"Special:Search_fr",34472
"New_York_City_en",34338
"Australia_en",34280
"Jawaharlal_Nehru_en",34132
"Heath_Ledger_en",34089
"List_of_Running_Man_episodes_en",34012
"Kim_Kardashian_en",33521
"Angelina_Jolie_en",33444
"George_Washington_en",33359
"Wikipedia:Contact_us_en",32895
"Deutschland_de",32854
"Служебна�?:Коллекци�?_книг_ru",32762
"Will_Smith_en",32522
"Lady_Gaga_en",32366
"Rachel_McAdams_en",31366
"The_Flash_(2014_TV_series)_en",31305
"Michael_Jordan_en",31060
"Mila_Kunis_en",30232
"Vin_Diesel_en",30204
"Служебна�?:Спи�?ок_наблюдени�?_ru",30078
"Syrian_Civil_War_en",30069
"Germany_en",29912
"Spécial:Liste_de_suivi_fr",29849
"Special:Search_ru",29848
"Ariana_Grande_en",29838
"Puerto_Rico_en",29827
"Stephen_Hawking_en",29623
"Russia_en",29498
"Sunny_Leone_en",29325
"Albert_Einstein_en",29165
"Japan_en",27757
"List_of_states_and_territories_of_the_United_States_en",27486
"Theodore_Roosevelt_en",27432
"Spezial:Letzte_Änderungen_de",27299
"Running_Man_zh",27164
"Portal:Contents_en",27030
"David_Attenborough_en",26975
"Kanye_West_en",26930
"Ро�?�?и�?_ru",26734
"Washington,_D.C._en",26723
"Tom_Cruise_en",26635
"Ben_Affleck_en",26581
"Illuminati_en",26533
"List_of_highest-grossing_films_en",26126
"LeBron_James_en",25913
"Harry_Potter_en",25397
"Lionel_Messi_es",24928
"Sexual_intercourse_en",24742
"Marilyn_Monroe_en",24643
"Vladimir_Putin_en",24636
"Website_en",24471
"List_of_Steven_Universe_episodes_en",24456
"List_of_amendments_to_the_United_States_Constitution_en",24329
"Singapore_en",24182
"London_en",24097
"Arroba_(símbolo)_es",24041
"Sylvester_Stallone_en",23889
"List_of_HTTP_status_codes_en",23877
"Supreme_Court_of_the_United_States_en",23876
"Narendra_Modi_en",23596
"Republican_Party_presidential_candidates,_2016_en",23506
"Tupac_Shakur_en",23411
"Rihanna_en",23370
"Captain_America:_Civil_War_en",23328
"Scarlett_Johansson_en",23256
"Beyoncé_en",23174
"List_of_TCP_and_UDP_port_numbers_en",22949
"The_Weeknd_en",22752
"Freddie_Mercury_en",22713
"John_Cena_en",22609
"Gotham_(TV_series)_en",22602
"Arrow_(TV_series)_en",22550
"Trans-Pacific_Partnership_en",22538
"France_en",22419
"Charles_Manson_en",22178
"Jeb_Bush_en",22061
"Narcissistic_personality_disorder_en",21922
"Template:Syrian_Civil_War_detailed_map_en",21756
"List_of_Naruto:_Shippuden_episodes_en",21711
"Liverpool_F.C._en",21633
"Marvel_Cinematic_Universe_en",21612
"特別:ウォッ�?リスト_ja",21435
"Rae_Sremmurd_en",21431
"European_Union_en",21356
"Special:Log_commons",21022
"List_of_countries_by_GDP_(nominal)_en",20990
"Netherlands_en",20575
"Leonardo_DiCaprio_en",20449
"Audrey_Hepburn_en",20236
"Mr._Robot_(TV_series)_en",20139
"California_en",20128
"Elizabeth_I_of_England_en",20109
"Wonders_of_the_World_en",20069
"Johnny_Depp_en",20063
"Vietnam_War_en",19998
"United_States_Declaration_of_Independence_en",19986
"William_Shakespeare_en",19940
"List_of_Marvel_Cinematic_Universe_films_en",19888
"Matt_Smith_(actor)_en",19843
"Rooting_(Android_OS)_en",19811
"Kylie_Jenner_en",19775
"Periodic_table_en",19708
"List_of_Arrow_episodes_en",19630
"Cara_Delevingne_en",18980
"Caitlyn_Jenner_en",18853
"Dunning–Kruger_effect_en",18788
"Kendall_Jenner_en",18786
"Emilia_Clarke_en",18652
"Selena_Gomez_en",18635
"Wikipedia:About_en",18305
"Justin_Bieber_en",18136
"Bruno_Mars_en",18059
"Dan_Bilzerian_en",17962
"Clint_Eastwood_en",17872
"Ruby_Rose_en",17848
"Snoop_Dogg_en",17818
"Lyme_disease_en",17731
"Segunda_Guerra_Mundial_es",17683
"Asperger_syndrome_en",17673
"Rick_and_Morty_en",17626
"Salman_Khan_en",17612
"Miley_Cyrus_en",17520
"BDSM_en",17489
"Friends_en",17488
"Lil_Wayne_en",17484
"Tabla_periódica_de_los_elementos_es",17217
"United_States_Constitution_en",17158
"American_Horror_Story_en",17034
"Uniform_resource_locator_en",16987
"Tom_Hardy_en",16884
"Pornhub_en",16858
"Jennifer_Garner_en",16770
"Chris_Pratt_en",16621
"Howard_Hughes_en",16611
"September_11_attacks_en",16488
"Baloncesto_es",16483
"X-Men:_Apocalypse_en",16292
"Contaminación_es",16241
"Voleibol_es",16130
"Orange_Is_the_New_Black_en",15881
"Humans_(TV_series)_en",15726
"List_of_United_States_cities_by_population_en",15632
"Harry_Potter_(film_series)_en",15615
"México_es",15526
"Great_Wall_of_China_en",15371
"Brad_Pitt_en",15302
"Philippines_en",15220
"Flag_of_the_United_States_en",15080
"Star_Wars_en",15015
"Tom_Hanks_en",14985
"Cristiano_Ronaldo_es",14983
"Nicki_Minaj_en",14809
"Standard_deviation_en",14745
"Hong_Kong_en",14738
"Miles_Teller_en",14677
"Seth_MacFarlane_en",14611
"Jim_Carrey_en",14611
"List_of_Game_of_Thrones_episodes_en",14546
"Chrissy_Teigen_en",14524
"Shia_LaBeouf_en",14512
"Anal_sex_en",14460
"Andy_Murray_en",14397
"Sex_en",14339
"Primera_Guerra_Mundial_es",14316
"Kris_Jenner_en",14302
"Facebook_es",14232
"Apple_Inc._en",14129
"Emma_Watson_en",14070
"House_of_Cards_(U.S._TV_series)_en",14067
"Elvis_Presley_en",14045
"Gigi_Hadid_en",14009
"Amy_Winehouse_en",13988
"Star_Wars:_The_Force_Awakens_en",13970
"Henry_VIII_of_England_en",13949
"New_Zealand_en",13913
"Chernobyl_disaster_en",13888
"NATO_phonetic_alphabet_en",13878
"Batman_v_Superman:_Dawn_of_Justice_en",13833
"Fútbol_es",13705
"Paul_Walker_en",13697
"Margot_Robbie_en",13663
"特別:ログイン_ja",13636
"Joseph_Stalin_en",13627
"Mark_Wahlberg_en",13595
"Hawaii_en",13526
"Brock_Lesnar_en",13482
"Sia_Furler_en",13474
"Shah_Rukh_Khan_en",13458
"Benjamin_Franklin_en",13401
"Lockheed_Martin_F-35_Lightning_II_en",13349
"Leonardo_da_Vinci_en",13276
"España_es",13233
"Anna_Kendrick_en",13135
"English_language_en",13127
"Penny_Dreadful_(TV_series)_en",13107
"Madonna_(entertainer)_en",13103
"Isaac_Newton_en",12977
"Game_of_Thrones_de",12924
"Nikola_Tesla_en",12746
"Taj_Mahal_en",12741
"Pakistan_en",12738
"Christopher_Columbus_en",12735
"Israel_en",12679
