page,visits,date
".xxx_en.wikipedia.org_all-access_all-agents",7089,"2016-01-01 00:00:00"
".xxx_en.wikipedia.org_mobile-web_all-agents",6182,"2016-01-01 00:00:00"
"1._Juli_de.wikipedia.org_desktop_all-agents",20,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents",5363,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents",3186,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_mobile-web_all-agents",2136,"2016-01-01 00:00:00"
"2015_Copa_América_en.wikipedia.org_all-access_all-agents",1160,"2016-01-01 00:00:00"
"2015_Copa_América_en.wikipedia.org_desktop_all-agents",564,"2016-01-01 00:00:00"
"2015_Copa_América_en.wikipedia.org_mobile-web_all-agents",580,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_all-access_all-agents",54347,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_desktop_all-agents",31236,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_mobile-web_all-agents",22168,"2016-01-01 00:00:00"
"2015–16_UEFA_Champions_League_en.wikipedia.org_all-access_all-agents",3822,"2016-01-01 00:00:00"
"2015–16_UEFA_Champions_League_en.wikipedia.org_desktop_all-agents",2074,"2016-01-01 00:00:00"
"2015–16_UEFA_Europa_League_en.wikipedia.org_desktop_all-agents",888,"2016-01-01 00:00:00"
"2015年八仙樂園派�?粉塵爆炸事故_zh.wikipedia.org_all-access_all-agents",627,"2016-01-01 00:00:00"
"2015年八仙樂園派�?粉塵爆炸事故_zh.wikipedia.org_desktop_all-agents",375,"2016-01-01 00:00:00"
"2015年八仙樂園派�?粉塵爆炸事故_zh.wikipedia.org_mobile-web_all-agents",247,"2016-01-01 00:00:00"
"2016_Summer_Olympics_en.wikipedia.org_all-access_all-agents",16083,"2016-01-01 00:00:00"
"2018_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents",3478,"2016-01-01 00:00:00"
"50_Cent_en.wikipedia.org_all-access_all-agents",9616,"2016-01-01 00:00:00"
"AC/DC_en.wikipedia.org_all-access_all-agents",10629,"2016-01-01 00:00:00"
"AC/DC_en.wikipedia.org_desktop_all-agents",4662,"2016-01-01 00:00:00"
"A_Song_of_Ice_and_Fire_en.wikipedia.org_all-access_all-agents",8638,"2016-01-01 00:00:00"
"A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents",3570,"2016-01-01 00:00:00"
"Abraham_Lincoln_en.wikipedia.org_all-access_all-agents",19421,"2016-01-01 00:00:00"
"Abraham_Lincoln_en.wikipedia.org_mobile-web_all-agents",13933,"2016-01-01 00:00:00"
"Accueil_fr.wikipedia.org_all-access_all-agents",10004,"2016-01-01 00:00:00"
"Accueil_fr.wikipedia.org_desktop_all-agents",6795,"2016-01-01 00:00:00"
"Adam_Levine_en.wikipedia.org_all-access_all-agents",8729,"2016-01-01 00:00:00"
"Adam_Sandler_en.wikipedia.org_all-access_all-agents",14192,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_all-access_all-agents",28224,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_desktop_all-agents",12619,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_mobile-web_all-agents",15004,"2016-01-01 00:00:00"
"Agents_of_S.H.I.E.L.D._en.wikipedia.org_all-access_all-agents",9564,"2016-01-01 00:00:00"
"Akshay_Kumar_en.wikipedia.org_all-access_all-agents",18811,"2016-01-01 00:00:00"
"Al_Capone_en.wikipedia.org_all-access_all-agents",6955,"2016-01-01 00:00:00"
"Alan_Turing_en.wikipedia.org_all-access_all-agents",14160,"2016-01-01 00:00:00"
"Albert_Einstein_en.wikipedia.org_all-access_all-agents",14974,"2016-01-01 00:00:00"
"Albert_Einstein_en.wikipedia.org_desktop_all-agents",5661,"2016-01-01 00:00:00"
"Alexander_the_Great_en.wikipedia.org_all-access_all-agents",8632,"2016-01-01 00:00:00"
"Alexandra_Daddario_en.wikipedia.org_all-access_all-agents",10791,"2016-01-01 00:00:00"
"Amazon.com_en.wikipedia.org_all-access_all-agents",8218,"2016-01-01 00:00:00"
"Amber_Heard_en.wikipedia.org_all-access_all-agents",9623,"2016-01-01 00:00:00"
"Amber_Heard_en.wikipedia.org_mobile-web_all-agents",6270,"2016-01-01 00:00:00"
"Amber_Rose_en.wikipedia.org_all-access_all-agents",7633,"2016-01-01 00:00:00"
"America's_Got_Talent_en.wikipedia.org_all-access_all-agents",1832,"2016-01-01 00:00:00"
"American_Civil_War_en.wikipedia.org_all-access_all-agents",13166,"2016-01-01 00:00:00"
